Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE,,Questions,,,,,,
1/26/2023,AQS,60371302,1,15.6,ug/m3 LC,58,Compton,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,33.901389,-118.205,,,,,,,,
1/27/2023,AQS,60371302,1,15.1,ug/m3 LC,57,Compton,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,33.901389,-118.205,,,,,,,,
1/28/2023,AQS,60371302,1,15.7,ug/m3 LC,59,Compton,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,33.901389,-118.205,,,,,,,,
1/29/2023,AQS,60371302,1,5.5,ug/m3 LC,23,Compton,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,33.901389,-118.205,,,,,,,,
1/30/2023,AQS,60371302,1,5.1,ug/m3 LC,21,Compton,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,33.901389,-118.205,,,,,,,,
1/31/2023,AQS,60371302,1,12.5,ug/m3 LC,52,Compton,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,33.901389,-118.205,,,,,,,,
2/1/2023,AQS,60371302,1,12,ug/m3 LC,50,Compton,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,33.901389,-118.205,,,,,,,,
2/2/2023,AQS,60371302,1,13.8,ug/m3 LC,55,Compton,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,33.901389,-118.205,,,,,,,,
2/3/2023,AQS,60371302,1,13.2,ug/m3 LC,53,Compton,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,33.901389,-118.205,,,,,,,,
2/4/2023,AQS,60371302,1,19.7,ug/m3 LC,67,Compton,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,33.901389,-118.205,,,,,,,,
2/5/2023,AQS,60371302,1,14.5,ug/m3 LC,56,Compton,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,33.901389,-118.205,,,,,,,,
2/6/2023,AQS,60371302,1,6,ug/m3 LC,25,Compton,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,33.901389,-118.205,,,,,,,,
2/7/2023,AQS,60371302,1,10,ug/m3 LC,42,Compton,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,33.901389,-118.205,,,,,,,,
2/8/2023,AQS,60371302,1,13.1,ug/m3 LC,53,Compton,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,33.901389,-118.205,,,,,,,,
2/9/2023,AQS,60371302,1,13.3,ug/m3 LC,54,Compton,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,33.901389,-118.205,,,,,,,,
2/10/2023,AQS,60371302,1,6.2,ug/m3 LC,26,Compton,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,33.901389,-118.205,,,,,,,,
2/11/2023,AQS,60371302,1,11.2,ug/m3 LC,47,Compton,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,33.901389,-118.205,,,,,,,,
